"AyahText","NomSouratAr","NomSouratFr","NomSouratTraduction","DatabaseID","SuraID","VerseID","AyahTextHarakat"
اولئك على هدى من ربهم واوليك هم المفلحون , البقرة , AL-BAQARAH , LA VACHE ,1,2,5,"أُولَٰئِكَ عَلَىٰ هُدًى مِنْ رَبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ"
ان الذين كفروا سواء عليهم  ء انذرتهم ام لم تنذرهم لا يؤمنون , البقرة , AL-BAQARAH , LA VACHE ,1,2,6,"إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنْذَرْتَهُمْ أَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُونَ"
 ختم الله على قلوبهم وعلى سمعهم وعلى ابصرهم غشوة ولهم عذاب عظيم , البقرة , AL-BAQARAH , LA VACHE ,1,2,7,"خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ"
ومن الناس من يقول ءامنا بالله وباليوم الاخر وما هم بمؤمنين , البقرة , AL-BAQARAH , LA VACHE ,1,2,8,"وَمِنَ النَّاسِ مَنْ يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُمْ بِمُؤْمِنِينَ"
يخدعون الله والذين ءامنوا وما يخدعون الا انفسهم وما يشعرون , البقرة , AL-BAQARAH , LA VACHE ,1,2,9,"يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنْفُسَهُمْ وَمَا يَشْعُرُونَ"
 فى قلوبهم مرض فزادهم الله مرضا ولهم عذاب اليم بما كانوا يكذبون , البقرة , AL-BAQARAH , LA VACHE ,1,2,10,"فِي قُلُوبِهِمْ مَرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ"
واذا قيل لهم لا تفسدوا فى الارض قالوا انما نحن مصلحون , البقرة , AL-BAQARAH , LA VACHE ,1,2,11,"وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ"
 الا انهم هم المفسدون ولكن لا يشعرون , البقرة , AL-BAQARAH , LA VACHE ,1,2,12,"أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِنْ لَا يَشْعُرُونَ"
واذا قيل لهم ءامنوا كما ءامن الناس قالوا انؤمن كما ءامن السفهاء الا انهم هم السفهاء ولكن لا يعلمون , البقرة , AL-BAQARAH , LA VACHE ,1,2,13,"وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِنْ لَا يَعْلَمُونَ"
واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلوا الى شيطينهم قالوا انا معكم انما نحن مستهزءون , البقرة , AL-BAQARAH , LA VACHE ,1,2,14,"وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ"
الله يستهزي بهم ويمدهم في طغينهم يعمهون , البقرة , AL-BAQARAH , LA VACHE ,1,2,15,"اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ"
 اولئك الذين اشتروا الضللة بالهدى فما ربحت تجرتهم وما كانوا مهتدين, البقرة , AL-BAQARAH , LA VACHE  ,1,2,16,"أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَتْ تِجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ"
  مثلهم كمثل الذى استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم فى ظلمت لا يبصرون , البقرة , AL-BAQARAH , LA VACHE ,1,2,17,"مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَا يُبْصِرُونَ"
صم بكم عمى فهم لا يرجعون , البقرة , AL-BAQARAH , LA VACHE ,1,2,18,"صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ"
او كصيب من السماء فيه ظلمت ورعد وبرق يجعلون اصبعهم فى ءاذانهم من الصوعق حذر الموت والله محيط بالكفرين , البقرة , AL-BAQARAH , LA VACHE ,1,2,19,"أَوْ كَصَيِّبٍ مِنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِمْ مِنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ"
يكاد البرق يخطف ابصرهم كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وابصرهم ان الله على كل شىء قدير , البقرة , AL-BAQARAH , LA VACHE ,1,2,20,"يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُمْ مَشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ"
يايها الناس اعبدوا ربكم الذى خلقكم والذين من قبلكم لعلكم تتقون , البقرة , AL-BAQARAH , LA VACHE ,1,2,21,"يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ"
الذى جعل لكم الارض فرشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرت رزقا لكم فلا تجعلوا لله اندادا وانتم تعلمون , البقرة , AL-BAQARAH , LA VACHE ,1,2,22,"الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنْزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَنْدَادًا وَأَنْتُمْ تَعْلَمُونَ"
وان كنتم فى ريب مما نزلنا على عبدنا فاتوا بسورة من مثله وادعوا شهداءكم من دون الله ان كنتم صدقين , البقرة , AL-BAQARAH , LA VACHE ,1,2,23,"وَإِنْ كُنْتُمْ فِي رَيْبٍ مِمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِنْ مِثْلِهِ وَادْعُوا شُهَدَاءَكُمْ مِنْ دُونِ اللَّهِ إِنْ كُنْتُمْ صَادِقِينَ"
 فان لم تفعلوا ولن تفعلوا فاتقوا النار التى وقودها الناس والحجارة اعدت للكفرين , البقرة , AL-BAQARAH , LA VACHE ,1,2,24,"فَإِنْ لَمْ تَفْعَلُوا وَلَنْ تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ"
وبشر الذين ءامنوا وعملوا الصلحت ان لهم جنت تجرى من تحتها الانهر كلما رزقوا منها من ثمرة رزقا قالوا هذا الذى رزقنا من قبل واتوا به متشبها ولهم فيها ازوج مطهرة وهم فيها خلدون , البقرة , AL-BAQARAH , LA VACHE ,1,2,25,"وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِنْ ثَمَرَةٍ رِزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِنْ قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ"
ان الله لا يستحى ان يضرب مثلا ما بعوضة فما فوقهافاما الذين ءامنوا فيعلمون انه الحق من ربهم واما الذين كفروا فيقولون ماذا اراد الله بهذا مثلا يضل به كثيرا ويهدى به كثيرا وما يضل به الا الفسقين , البقرة , AL-BAQARAH , LA VACHE ,1,2,26,"إِنَّ اللَّهَ لَا يَسْتَحْيِي أَنْ يَضْرِبَ مَثَلًا مَا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِنْ رَبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ"
الذين ينقضون عهد الله من بعد ميثقه ويقطعون ما امر الله به ان يوصل ويفسدون فى الارض اولئك هم الخسرون , البقرة , AL-BAQARAH , LA VACHE ,1,2,27,"الَّذِينَ يَنْقُضُونَ عَهْدَ اللَّهِ مِنْ بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَنْ يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ"
كيف تكفرون بالله وكنتم اموتا فاحيكم ثم يميتكم ثم يحييكم ثم اليه ترجعون , البقرة , AL-BAQARAH , LA VACHE ,1,2,28,"كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنْتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ"
 هو الذى خلق لكم ما فى الارض جميعا ثم استوى الى السماء فسويهن سبع سموت وهو بكل شىء عليم , البقرة , AL-BAQARAH , LA VACHE ,1,2,29,"هُوَ الَّذِي خَلَقَ لَكُمْ مَا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ"
واذ قال ربك للملئكة انى جاعل فى الارض خليفة قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال انى اعلم ما لا تعلمون , البقرة , AL-BAQARAH , LA VACHE ,1,2,30,"وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَنْ يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ"
وعلم ءادم الاسماء كلها ثم عرضهم على الملئكة فقال انبؤنى باسماء هؤلاء ان كنتم صدقين , البقرة , AL-BAQARAH , LA VACHE ,1,2,31,"وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنْبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِنْ كُنْتُمْ صَادِقِينَ"
 قالوا سبحنك لا علم لنا الا ما علمتنا انك انت العليم الحكيم , البقرة , AL-BAQARAH , LA VACHE ,1,2,32,"قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنْتَ الْعَلِيمُ الْحَكِيمُ"
قال يادم انبئهم باسمائهم فلما انباهم باسمائهم قال الم اقل لكم انى اعلم غيب السموت والارض واعلم ما تبدون وما كنتم تكتمون , البقرة , AL-BAQARAH , LA VACHE ,1,2,33,"قَالَ يَا آدَمُ أَنْبِئْهُمْ بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنْبَأَهُمْ بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُلْ لَكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنْتُمْ تَكْتُمُونَ"
واذ قلنا للملئكة اسجدوا لادم فسجدوا الا ابليس ابى واستكبر وكان من الكفرين , البقرة , AL-BAQARAH , LA VACHE ,1,2,34,"وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ"
وقلنا يادم اسكن انت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظلمين , البقرة , AL-BAQARAH , LA VACHE ,1,2,35,"وَقُلْنَا يَا آدَمُ اسْكُنْ أَنْتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ"
فازلهما الشيطن عنها فاخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم فى الارض مستقر ومتع الى حين , البقرة , AL-BAQARAH , LA VACHE ,1,2,36,"فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ"
فتلقى ءادم من ربه كلمت فتاب عليه انه هو التواب الرحيم , البقرة , AL-BAQARAH , LA VACHE ,1,2,37,"فَتَلَقَّىٰ آدَمُ مِنْ رَبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ"
قلنا اهبطوا منها جميعا فاما ياتينكم منى هدى فمن تبع هداى فلا خوف عليهم ولا هم يحزنون , البقرة , AL-BAQARAH , LA VACHE ,1,2,38,"قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُمْ مِنِّي هُدًى فَمَنْ تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ"
 والذين كفروا وكذبوا بايتنا اولئك اصحب النار هم فيها خلدون , البقرة , AL-BAQARAH , LA VACHE ,1,2,39,"وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ"
يبنى اسرءيل اذكروا نعمتى التي انعمت عليكم واوفوا بعهدى اوف بعهدكم وايى فارهبون , البقرة , AL-BAQARAH , LA VACHE ,1,2,40,"يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ"
وءامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافربه ولا تشتروا بايتى ثمنا قليلا وايى فاتقون , البقرة , AL-BAQARAH , LA VACHE ,1,2,41,"وَآمِنُوا بِمَا أَنْزَلْتُ مُصَدِّقًا لِمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ"
ولا تلبسوا الحق بالبطل وتكتموا الحق وانتم تعلمون , البقرة , AL-BAQARAH , LA VACHE ,1,2,42,"وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنْتُمْ تَعْلَمُونَ"
 واقيموا الصلوة وءاتوا الزكوة واركعوا مع الركعين , البقرة , AL-BAQARAH , LA VACHE ,1,2,43,"وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ"
اتامرون الناس بالبر وتنسون انفسكم وانتم تتلون الكتب افلا تعقلون , البقرة , AL-BAQARAH , LA VACHE ,1,2,44,"أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنْسَوْنَ أَنْفُسَكُمْ وَأَنْتُمْ تَتْلُونَ الْكِتَابَ ۚ أَفَلَا تَعْقِلُونَ"
واستعينوا بالصبر والصلوة وانها لكبيرة الا على الخشعين , البقرة , AL-BAQARAH , LA VACHE ,1,2,45,"وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ"
الذين يظنون انهم ملقوا ربهم وانهم اليه رجعون , البقرة , AL-BAQARAH , LA VACHE ,1,2,46,"الَّذِينَ يَظُنُّونَ أَنَّهُمْ مُلَاقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ"
يبنى اسرءيل اذكروا نعمتى التى انعمت عليكم وانى فضلتكم على العلمين , البقرة , AL-BAQARAH , LA VACHE ,1,2,47,"يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ"
 واتقوا يوما لا تجزى نفس عن نفس شيا ولا يقبل منها شفعة ولا يؤخذ منها عدل ولا هم ينصرون , البقرة , AL-BAQARAH , LA VACHE ,1,2,48,"وَاتَّقُوا يَوْمًا لَا تَجْزِي نَفْسٌ عَنْ نَفْسٍ شَيْئًا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنْصَرُونَ"
واذ نجينكم من ءال فرعون يسومونكم سوء العذاب يذبحون ابناءكم ويستحيون نساءكم وفى ذلكم بلاء من ربكم عظيم , البقرة , AL-BAQARAH , LA VACHE ,1,2,49,"وَإِذْ نَجَّيْنَاكُمْ مِنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوءَ الْعَذَابِ يُذَبِّحُونَ أَبْنَاءَكُمْ وَيَسْتَحْيُونَ نِسَاءَكُمْ ۚ وَفِي ذَٰلِكُمْ بَلَاءٌ مِنْ رَبِّكُمْ عَظِيمٌ"
واذ فرقنا بكم البحر فانجينكم واغرقنا ءال فرعون وانتم تنظرون , البقرة , AL-BAQARAH , LA VACHE ,1,2,50,"وَإِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَأَنْجَيْنَاكُمْ وَأَغْرَقْنَا آلَ فِرْعَوْنَ وَأَنْتُمْ تَنْظُرُونَ"
واذ وعدنا موسى اربعين ليلة ثم اتخذتم العجل من بعده وانتم ظلمون , البقرة , AL-BAQARAH , LA VACHE ,1,2,51,"وَإِذْ وَاعَدْنَا مُوسَىٰ أَرْبَعِينَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِنْ بَعْدِهِ وَأَنْتُمْ ظَالِمُونَ"
 ثم عفونا عنكم من بعد ذلك لعلكم تشكرون , البقرة , AL-BAQARAH , LA VACHE ,1,2,52,"ثُمَّ عَفَوْنَا عَنْكُمْ مِنْ بَعْدِ ذَٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ"
واذ ءاتينا موسى الكتب والفرقان لعلكم تهتدون , البقرة , AL-BAQARAH , LA VACHE ,1,2,53,"وَإِذْ آتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ"
واذ قال موسى لقومه يقوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الى بارئكم فاقتلوا انفسكم ذلكم خير لكم عند بارئكم فتاب عليكم انه هو التواب الرحيم , البقرة , AL-BAQARAH , LA VACHE ,1,2,54,"وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ يَا قَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنْفُسَكُمْ بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوبُوا إِلَىٰ بَارِئِكُمْ فَاقْتُلُوا أَنْفُسَكُمْ ذَٰلِكُمْ خَيْرٌ لَكُمْ عِنْدَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ"
واذ قلتم يموسى لن نؤمن لك حتى نرى الله جهرة فاخذتكم الصعقة وانتم تنظرون , البقرة , AL-BAQARAH , LA VACHE ,1,2,55,"وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَنْ نُؤْمِنَ لَكَ حَتَّىٰ نَرَى اللَّهَ جَهْرَةً فَأَخَذَتْكُمُ الصَّاعِقَةُ وَأَنْتُمْ تَنْظُرُونَ"
 ثم بعثنكم من بعد موتكم لعلكم تشكرون , البقرة , AL-BAQARAH , LA VACHE ,1,2,56,"ثُمَّ بَعَثْنَاكُمْ مِنْ بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ"
وظللنا عليكم الغمام وانزلنا عليكم المن والسلوى كلوا من طيبت ما رزقنكم وما ظلمونا ولكن كانوا انفسهم يظلمون , البقرة , AL-BAQARAH , LA VACHE ,1,2,57,"وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَأَنْزَلْنَا عَلَيْكُمُ الْمَنَّ وَالسَّلْوَىٰ ۖ كُلُوا مِنْ طَيِّبَاتِ مَا رَزَقْنَاكُمْ ۖ وَمَا ظَلَمُونَا وَلَٰكِنْ كَانُوا أَنْفُسَهُمْ يَظْلِمُونَ"
واذ قلنا ادخلوا هذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفرلكم خطيكم وسنزيد المحسنين , البقرة , AL-BAQARAH , LA VACHE ,1,2,58,"وَإِذْ قُلْنَا ادْخُلُوا هَٰذِهِ الْقَرْيَةَ فَكُلُوا مِنْهَا حَيْثُ شِئْتُمْ رَغَدًا وَادْخُلُوا الْبَابَ سُجَّدًا وَقُولُوا حِطَّةٌ نَغْفِرْ لَكُمْ خَطَايَاكُمْ ۚ وَسَنَزِيدُ الْمُحْسِنِينَ"
 فبدل الذين ظلموا قولا غير الذى قيل لهم فانزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون , البقرة , AL-BAQARAH , LA VACHE ,1,2,59,"فَبَدَّلَ الَّذِينَ ظَلَمُوا قَوْلًا غَيْرَ الَّذِي قِيلَ لَهُمْ فَأَنْزَلْنَا عَلَى الَّذِينَ ظَلَمُوا رِجْزًا مِنَ السَّمَاءِ بِمَا كَانُوا يَفْسُقُونَ"
واذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل اناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا فى الارض مفسدين , البقرة , AL-BAQARAH , LA VACHE ,1,2,60,"وَإِذِ اسْتَسْقَىٰ مُوسَىٰ لِقَوْمِهِ فَقُلْنَا اضْرِبْ بِعَصَاكَ الْحَجَرَ ۖ فَانْفَجَرَتْ مِنْهُ اثْنَتَا عَشْرَةَ عَيْنًا ۖ قَدْ عَلِمَ كُلُّ أُنَاسٍ مَشْرَبَهُمْ ۖ كُلُوا وَاشْرَبُوا مِنْ رِزْقِ اللَّهِ وَلَا تَعْثَوْا فِي الْأَرْضِ مُفْسِدِينَ"
